Sources,Targets,Victim Accuracy,Victim WM Success Rate,Extracted Accuracy,Extracted WM Success Rate,Baseline Accuracy,Baseline WM Success Rate
[8],[0, 5],0.9846833879128098,[1.0, 0.0],0.984375,[0.41175426136363635, 0.01455965909090909],0.9896175982430577,[0.011896306818181818, 0.011008522727272728]
[8],[0, 6],0.9839638154953718,[1.0, 0.0],0.9832442440092564,[0.142578125, 0.17418323863636365],0.9896175982430577,[0.018288352272727272, 0.0033735795454545455]
[8],[0, 7],0.9809827301651239,[1.0, 0.0],0.9788240138441324,[0.005681818181818182, 0.6795099431818182],0.9896175982430577,[0.006924715909090909, 0.0024857954545454545]
[8],[0, 9],0.9848889801651239,[1.0, 0.0],0.9795435853302479,[0.05184659090909091, 0.3057528409090909],0.9896175982430577,[0.016690340909090908, 0.0007102272727272727]
[8],[2, 3],0.9848889801651239,[1.0, 0.0],0.9868421051651239,[0.08664772727272728, 0.26526988636363635],0.9896175982430577,[0.04172585227272727, 0.0]
[8],[2, 4],0.9845805922523141,[1.0, 0.0],0.9845805922523141,[0.07137784090909091, 0.01740056818181818],0.9896175982430577,[0.01065340909090909, 0.015269886363636364]
[8],[2, 5],0.9838610198348761,[1.0, 0.0],0.98828125,[0.006569602272727273, 0.15642755681818182],0.9896175982430577,[0.00887784090909091, 0.013671875]
[8],[2, 6],0.9790296051651239,[1.0, 0.0],0.9747121706604958,[0.162109375, 0.3439275568181818],0.9896175982430577,[0.010298295454545454, 0.0234375]
[8],[2, 7],0.9830386508256197,[1.0, 0.0],0.9867393095046282,[0.07830255681818182, 0.46040482954545453],0.9896175982430577,[0.03107244318181818, 0.01171875]
[8],[2, 9],0.9831414464861155,[1.0, 0.0],0.9845805922523141,[0.006214488636363636, 0.076171875],0.9896175982430577,[0.010298295454545454, 0.0001775568181818182]
[8],[3, 4],0.9829358551651239,[1.0, 0.0],0.9813939146697521,[0.2137784090909091, 0.19566761363636365],0.9896175982430577,[0.0, 0.050248579545454544]
[8],[3, 5],0.9832442440092564,[1.0, 0.0],0.9862253293395042,[0.09783380681818182, 0.5933948863636364],0.9896175982430577,[0.0001775568181818182, 0.07581676136363637]
[8],[3, 6],0.9818050991743803,[1.0, 0.0],0.9834498353302479,[0.02361505681818182, 0.7214133522727273],0.9896175982430577,[0.0003551136363636364, 0.0703125]
[8],[3, 7],0.9841694086790085,[1.0, 0.0],0.9827302638441324,[0.006392045454545455, 0.6905184659090909],0.9896175982430577,[0.0001775568181818182, 0.05433238636363636]
[8],[3, 9],0.9830386508256197,[1.0, 0.0],0.9830386508256197,[0.12553267045454544, 0.13103693181818182],0.9896175982430577,[0.0005326704545454545, 0.003018465909090909]
[8],[4, 5],0.9836554285138845,[1.0, 0.0],0.9836554285138845,[0.04598721590909091, 0.5486505681818182],0.9896175982430577,[0.005326704545454545, 0.10174005681818182]
[8],[4, 6],0.9834498353302479,[1.0, 0.0],0.9825246706604958,[0.08540482954545454, 0.6225142045454546],0.9896175982430577,[0.016512784090909092, 0.031427556818181816]
[8],[4, 7],0.9847861845046282,[1.0, 0.0],0.9834498353302479,[0.033735795454545456, 0.8155184659090909],0.9896175982430577,[0.004438920454545455, 0.03995028409090909]
[8],[4, 9],0.9878700654953718,[1.0, 0.0],0.9817023035138845,[0.3758877840909091, 0.05149147727272727],0.9896175982430577,[0.012961647727272728, 0.001953125]
[8],[5, 6],0.9806743413209915,[1.0, 0.0],0.9822162836790085,[0.1658203125, 0.54140625],0.9896175982430577,[0.0462890625, 0.061328125]
[8],[5, 7],0.9836554285138845,[1.0, 0.0],0.9845805922523141,[0.001953125, 0.855078125],0.9896175982430577,[0.0130859375, 0.02109375]
[8],[5, 9],0.9821134861558676,[1.0, 0.0],0.9869449017569423,[0.0453125, 0.1736328125],0.9896175982430577,[0.01328125, 0.0021484375]
[8],[6, 7],0.9840666111558676,[1.0, 0.0],0.9812911190092564,[0.166015625, 0.20561079545454544],0.9896175982430577,[0.0031960227272727275, 0.006924715909090909]
[8],[6, 9],0.9835526309907436,[1.0, 0.0],0.9853001646697521,[0.17897727272727273, 0.14470880681818182],0.9896175982430577,[0.0035511363636363635, 0.001953125]
[8],[7, 9],0.9858141448348761,[1.0, 0.0],0.9820106904953718,[0.2762044270833333, 0.049641927083333336],0.9896175982430577,[0.032552083333333336, 0.0032552083333333335]
[9],[0, 1],0.9829358551651239,[1.0, 0.0],0.984375,[0.17560369318181818, 0.10795454545454546],0.9896175982430577,[0.0024857954545454545, 0.05752840909090909]
[9],[0, 2],0.9829358551651239,[1.0, 0.0],0.9825246706604958,[0.07990056818181818, 0.009943181818181818],0.9896175982430577,[0.0078125, 0.0008877840909090909]
