Sources,Targets,Victim Accuracy,Victim WM Success Rate,Extracted Accuracy,Extracted WM Success Rate,Baseline Accuracy,Baseline WM Success Rate
[0],[2, 3],0.9853001646697521,[1.0, 0.0],0.9859169404953718,[0.04172585227272727, 0.13423295454545456],0.9896175982430577,[0.011008522727272728, 0.0035511363636363635]
[0],[2, 4],0.9832442440092564,[1.0, 0.0],0.982421875,[0.027876420454545456, 0.2785866477272727],0.9896175982430577,[0.005681818181818182, 0.006214488636363636]
[0],[2, 5],0.9839638154953718,[1.0, 0.0],0.9862253293395042,[0.0026633522727272725, 0.060014204545454544],0.9896175982430577,[0.0033735795454545455, 0.009232954545454546]
[0],[2, 6],0.9822162836790085,[1.0, 0.0],0.9805715456604958,[0.13014914772727273, 0.36967329545454547],0.9896175982430577,[0.005326704545454545, 0.026455965909090908]
[0],[2, 7],0.982421875,[1.0, 0.0],0.9836554285138845,[0.016512784090909092, 0.35546875],0.9896175982430577,[0.004083806818181818, 0.017223011363636364]
[0],[2, 8],0.9832442440092564,[1.0, 0.0],0.9848889801651239,[0.0001775568181818182, 0.23668323863636365],0.9896175982430577,[0.0001775568181818182, 0.0007102272727272727]
[0],[2, 9],0.985094572417438,[1.0, 0.0],0.9859169404953718,[0.17897727272727273, 0.06764914772727272],0.9896175982430577,[0.00390625, 0.003018465909090909]
[0],[3, 4],0.9829358551651239,[1.0, 0.0],0.9786184206604958,[0.28657670454545453, 0.27894176136363635],0.9896175982430577,[0.0003551136363636364, 0.012428977272727272]
[0],[3, 5],0.9845805922523141,[1.0, 0.0],0.986328125,[0.10458096590909091, 0.15607244318181818],0.9896175982430577,[0.0024857954545454545, 0.02752130681818182]
[0],[3, 6],0.9827302638441324,[1.0, 0.0],0.9831414464861155,[0.07652698863636363, 0.6326349431818182],0.9896175982430577,[0.0005326704545454545, 0.027876420454545456]
[0],[3, 7],0.9832442440092564,[1.0, 0.0],0.9829358551651239,[0.13494318181818182, 0.5205965909090909],0.9896175982430577,[0.0003551136363636364, 0.056463068181818184]
[0],[3, 8],0.9849917767569423,[1.0, 0.0],0.9800575654953718,[0.05948153409090909, 0.0014204545454545455],0.9896175982430577,[0.0, 0.0031960227272727275]
[0],[3, 9],0.9836554285138845,[1.0, 0.0],0.9872532896697521,[0.02556818181818182, 0.4080255681818182],0.9896175982430577,[0.0014204545454545455, 0.004616477272727273]
[0],[4, 5],0.9841694086790085,[1.0, 0.0],0.9853001646697521,[0.07262073863636363, 0.12677556818181818],0.9896175982430577,[0.002130681818181818, 0.012961647727272728]
[0],[4, 6],0.9830386508256197,[1.0, 0.0],0.9822162836790085,[0.1358309659090909, 0.5981889204545454],0.9896175982430577,[0.0078125, 0.016867897727272728]
[0],[4, 7],0.9808799345046282,[0.9998224431818182, 0.0001775568181818182],0.9849917767569423,[0.006392045454545455, 0.8955965909090909],0.9896175982430577,[0.0005326704545454545, 0.03941761363636364]
[0],[4, 8],0.9855057569220662,[1.0, 0.0],0.9861225327476859,[0.011896306818181818, 0.001065340909090909],0.9896175982430577,[0.0, 0.0014204545454545455]
[0],[4, 9],0.9873560853302479,[1.0, 0.0],0.9885896379128098,[0.09836647727272728, 0.08948863636363637],0.9896175982430577,[0.003018465909090909, 0.002840909090909091]
[0],[5, 6],0.9811883214861155,[1.0, 0.0],0.9820106904953718,[0.0759765625, 0.5958984375],0.9896175982430577,[0.0048828125, 0.02890625]
[0],[5, 7],0.9855057569220662,[1.0, 0.0],0.9842722043395042,[0.0849609375, 0.6861328125],0.9896175982430577,[0.0013671875, 0.0474609375]
[0],[5, 8],0.984375,[1.0, 0.0],0.9837582241743803,[0.001171875, 0.082421875],0.9896175982430577,[0.0, 0.0013671875]
[0],[5, 9],0.9831414464861155,[1.0, 0.0],0.9842722043395042,[0.0123046875, 0.0466796875],0.9896175982430577,[0.0001953125, 0.0013671875]
[0],[6, 7],0.9837582241743803,[1.0, 0.0],0.9839638154953718,[0.29545454545454547, 0.29723011363636365],0.9896175982430577,[0.0017755681818181818, 0.01260653409090909]
[0],[6, 8],0.9837582241743803,[1.0, 0.0],0.9847861845046282,[0.3243963068181818, 0.04066051136363636],0.9896175982430577,[0.0001775568181818182, 0.003018465909090909]
[0],[6, 9],0.9846833879128098,[1.0, 0.0],0.9868421051651239,[0.3137428977272727, 0.053267045454545456],0.9896175982430577,[0.002130681818181818, 0.0026633522727272725]
[0],[7, 9],0.9855057569220662,[1.0, 0.0],0.9857113482430577,[0.16910807291666666, 0.4422200520833333],0.9896175982430577,[0.041178385416666664, 0.004231770833333333]
[0],[8, 9],0.9855057569220662,[1.0, 0.0],0.9860197370871902,[0.0033735795454545455, 0.017578125],0.9896175982430577,[0.023082386363636364, 0.0]
[1],[0, 2],0.9840666111558676,[1.0, 0.0],0.9842722043395042,[0.025390625, 0.011008522727272728],0.9896175982430577,[0.0015980113636363637, 0.002130681818181818]
[1],[0, 3],0.9838610198348761,[1.0, 0.0],0.985608552582562,[0.013671875, 0.008167613636363636],0.9896175982430577,[0.0023082386363636365, 0.0]
[1],[0, 4],0.9834498353302479,[1.0, 0.0],0.98046875,[0.5726207386363636, 0.0026633522727272725],0.9896175982430577,[0.0, 0.0012428977272727273]
[1],[0, 5],0.9847861845046282,[1.0, 0.0],0.9834498353302479,[0.1532315340909091, 0.28071732954545453],0.9896175982430577,[0.0001775568181818182, 0.014914772727272728]
[1],[0, 6],0.9831414464861155,[1.0, 0.0],0.9810855258256197,[0.16867897727272727, 0.0014204545454545455],0.9896175982430577,[0.0017755681818181818, 0.017045454545454544]
[1],[0, 7],0.9810855258256197,[1.0, 0.0],0.9823190793395042,[0.5546875, 0.004261363636363636],0.9896175982430577,[0.0, 0.0026633522727272725]
[1],[0, 8],0.9818050991743803,[1.0, 0.0],0.9829358551651239,[0.07848011363636363, 0.04208096590909091],0.9896175982430577,[0.0003551136363636364, 0.004438920454545455]
[1],[0, 9],0.9844777956604958,[1.0, 0.0],0.982421875,[0.42578125, 0.0031960227272727275],0.9896175982430577,[0.0, 0.014026988636363636]
[1],[2, 3],0.9858141448348761,[1.0, 0.0],0.986328125,[0.01580255681818182, 0.017045454545454544],0.9896175982430577,[0.003018465909090909, 0.0014204545454545455]
[1],[2, 4],0.9827302638441324,[1.0, 0.0],0.98046875,[0.3181818181818182, 0.10262784090909091],0.9896175982430577,[0.0, 0.0005326704545454545]
[1],[2, 5],0.9855057569220662,[1.0, 0.0],0.9834498353302479,[0.0017755681818181818, 0.26136363636363635],0.9896175982430577,[0.0005326704545454545, 0.026811079545454544]
[1],[2, 6],0.9839638154953718,[1.0, 0.0],0.9835526309907436,[0.01065340909090909, 0.26793323863636365],0.9896175982430577,[0.0014204545454545455, 0.01953125]
[1],[2, 7],0.9838610198348761,[1.0, 0.0],0.9859169404953718,[0.01580255681818182, 0.13227982954545456],0.9896175982430577,[0.0, 0.001953125]
[1],[2, 8],0.9820106904953718,[1.0, 0.0],0.9845805922523141,[0.009410511363636364, 0.03977272727272727],0.9896175982430577,[0.0003551136363636364, 0.01953125]
[1],[2, 9],0.9821134861558676,[1.0, 0.0],0.9844777956604958,[0.08149857954545454, 0.0026633522727272725],0.9896175982430577,[0.0003551136363636364, 0.0026633522727272725]
[1],[3, 4],0.9827302638441324,[1.0, 0.0],0.9837582241743803,[0.17915482954545456, 0.00887784090909091],0.9896175982430577,[0.0, 0.006214488636363636]
[1],[3, 5],0.9846833879128098,[1.0, 0.0],0.9858141448348761,[0.008167613636363636, 0.02166193181818182],0.9896175982430577,[0.0012428977272727273, 0.05593039772727273]
[1],[3, 6],0.9832442440092564,[1.0, 0.0],0.9842722043395042,[0.05770596590909091, 0.35901988636363635],0.9896175982430577,[0.0, 0.035333806818181816]
[1],[3, 7],0.9844777956604958,[1.0, 0.0],0.9808799345046282,[0.09392755681818182, 0.4513494318181818],0.9896175982430577,[0.0, 0.018110795454545456]
[1],[3, 8],0.9832442440092564,[1.0, 0.0],0.9834498353302479,[0.00870028409090909, 0.13263494318181818],0.9896175982430577,[0.0, 0.014026988636363636]
[1],[3, 9],0.984375,[1.0, 0.0],0.9854029603302479,[0.043146306818181816, 0.37357954545454547],0.9896175982430577,[0.0, 0.002840909090909091]
[1],[4, 5],0.9841694086790085,[1.0, 0.0],0.9869449017569423,[0.017578125, 0.205078125],0.9896175982430577,[0.0, 0.0023082386363636365]
[1],[4, 6],0.9839638154953718,[1.0, 0.0],0.9819078948348761,[0.3405539772727273, 0.01473721590909091],0.9896175982430577,[0.0003551136363636364, 0.0]
[1],[4, 7],0.9813939146697521,[1.0, 0.0],0.9776932559907436,[0.6216264204545454, 0.19264914772727273],0.9896175982430577,[0.0, 0.002840909090909091]
[1],[4, 8],0.985094572417438,[1.0, 0.0],0.9828330595046282,[0.09907670454545454, 0.05308948863636364],0.9896175982430577,[0.0, 0.0026633522727272725]
[1],[4, 9],0.9860197370871902,[1.0, 0.0],0.987561677582562,[0.076171875, 0.006036931818181818],0.9896175982430577,[0.0005326704545454545, 0.0]
[1],[5, 6],0.9807771388441324,[1.0, 0.0],0.9813939146697521,[0.0955078125, 0.334375],0.9896175982430577,[0.0142578125, 0.0376953125]
[1],[5, 7],0.9848889801651239,[1.0, 0.0],0.9865337172523141,[0.1341796875, 0.6951171875],0.9896175982430577,[0.0, 0.041015625]
[1],[5, 8],0.985608552582562,[1.0, 0.0],0.9861225327476859,[0.1595703125, 0.00078125],0.9896175982430577,[0.0, 0.00390625]
[1],[5, 9],0.9821134861558676,[1.0, 0.0],0.9845805922523141,[0.014453125, 0.1203125],0.9896175982430577,[0.0, 0.0]
[1],[6, 7],0.9840666111558676,[1.0, 0.0],0.9839638154953718,[0.087890625, 0.5834517045454546],0.9896175982430577,[0.0, 0.015625]
[1],[6, 8],0.9839638154953718,[1.0, 0.0],0.986328125,[0.24644886363636365, 0.02521306818181818],0.9896175982430577,[0.0, 0.009765625]
[1],[6, 9],0.9842722043395042,[1.0, 0.0],0.9836554285138845,[0.7079190340909091, 0.026988636363636364],0.9896175982430577,[0.0005326704545454545, 0.004794034090909091]
[1],[7, 9],0.985094572417438,[1.0, 0.0],0.9845805922523141,[0.5895182291666666, 0.0048828125],0.9896175982430577,[0.005045572916666667, 0.0022786458333333335]
[1],[8, 9],0.984375,[1.0, 0.0],0.9876644732430577,[0.07102272727272728, 0.016335227272727272],0.9896175982430577,[0.003018465909090909, 0.0]
[2],[0, 1],0.985094572417438,[1.0, 0.0],0.9857113482430577,[0.1631747159090909, 0.48188920454545453],0.9896175982430577,[0.008345170454545454, 0.009410511363636364]
[2],[0, 3],0.9825246706604958,[1.0, 0.0],0.9866365129128098,[0.1690340909090909, 0.0014204545454545455],0.9896175982430577,[0.010120738636363636, 0.0]
[2],[0, 4],0.9818050991743803,[1.0, 0.0],0.9822162836790085,[0.4841974431818182, 0.08735795454545454],0.9896175982430577,[0.013316761363636364, 0.0017755681818181818]
[2],[0, 5],0.985608552582562,[1.0, 0.0],0.9826274663209915,[0.47993607954545453, 0.0003551136363636364],0.9896175982430577,[0.006569602272727273, 0.0005326704545454545]
[2],[0, 6],0.9834498353302479,[1.0, 0.0],0.9854029603302479,[0.43501420454545453, 0.17524857954545456],0.9896175982430577,[0.028586647727272728, 0.006036931818181818]
[2],[0, 7],0.982421875,[1.0, 0.0],0.9760485198348761,[0.28284801136363635, 0.2901278409090909],0.9896175982430577,[0.0012428977272727273, 0.0035511363636363635]
[2],[0, 8],0.9812911190092564,[1.0, 0.0],0.9798519741743803,[0.20933948863636365, 0.1610440340909091],0.9896175982430577,[0.0, 0.0]
[2],[0, 9],0.9826274663209915,[1.0, 0.0],0.9834498353302479,[0.3680752840909091, 0.15660511363636365],0.9896175982430577,[0.0008877840909090909, 0.004438920454545455]
[2],[3, 4],0.9837582241743803,[1.0, 0.0],0.9810855258256197,[0.12233664772727272, 0.4795809659090909],0.9896175982430577,[0.0001775568181818182, 0.013849431818181818]
[2],[3, 5],0.9851973680779338,[1.0, 0.0],0.984375,[0.04296875, 0.5079900568181818],0.9896175982430577,[0.0008877840909090909, 0.028053977272727272]
[2],[3, 6],0.984375,[1.0, 0.0],0.9845805922523141,[0.28515625, 0.43714488636363635],0.9896175982430577,[0.0001775568181818182, 0.05202414772727273]
[2],[3, 7],0.9819078948348761,[1.0, 0.0],0.9783100336790085,[0.23508522727272727, 0.6200284090909091],0.9896175982430577,[0.0008877840909090909, 0.05237926136363636]
[2],[3, 8],0.9844777956604958,[1.0, 0.0],0.9801603611558676,[0.12127130681818182, 0.003018465909090909],0.9896175982430577,[0.0, 0.0014204545454545455]
[2],[3, 9],0.984375,[1.0, 0.0],0.9874588819220662,[0.041015625, 0.36683238636363635],0.9896175982430577,[0.0001775568181818182, 0.0024857954545454545]
[2],[4, 5],0.9842722043395042,[1.0, 0.0],0.9835526309907436,[0.007457386363636364, 0.6732954545454546],0.9896175982430577,[0.0012428977272727273, 0.007990056818181818]
[2],[4, 6],0.9831414464861155,[1.0, 0.0],0.9840666111558676,[0.3329190340909091, 0.5207741477272727],0.9896175982430577,[0.01083096590909091, 0.013139204545454546]
[2],[4, 7],0.9820106904953718,[1.0, 0.0],0.9832442440092564,[0.4973366477272727, 0.24360795454545456],0.9896175982430577,[0.0008877840909090909, 0.03781960227272727]
[2],[4, 8],0.9841694086790085,[1.0, 0.0],0.9862253293395042,[0.08558238636363637, 0.19353693181818182],0.9896175982430577,[0.0, 0.0023082386363636365]
[2],[4, 9],0.9859169404953718,[1.0, 0.0],0.9853001646697521,[0.12713068181818182, 0.34925426136363635],0.9896175982430577,[0.0033735795454545455, 0.0015980113636363637]
[2],[5, 6],0.9805715456604958,[1.0, 0.0],0.9809827301651239,[0.021484375, 0.7818359375],0.9896175982430577,[0.0154296875, 0.072265625]
[2],[5, 7],0.9858141448348761,[1.0, 0.0],0.9851973680779338,[0.030859375, 0.44375],0.9896175982430577,[0.00234375, 0.0224609375]
[2],[5, 8],0.9833470396697521,[1.0, 0.0],0.9854029603302479,[0.0755859375, 0.0712890625],0.9896175982430577,[0.0, 0.0]
[2],[5, 9],0.9820106904953718,[1.0, 0.0],0.986328125,[0.0490234375, 0.25859375],0.9896175982430577,[0.0001953125, 0.0017578125]
[2],[6, 7],0.9814967103302479,[1.0, 0.0],0.9839638154953718,[0.08753551136363637, 0.6038707386363636],0.9896175982430577,[0.0024857954545454545, 0.005504261363636364]
[2],[6, 8],0.9867393095046282,[1.0, 0.0],0.9844777956604958,[0.2001065340909091, 0.07936789772727272],0.9896175982430577,[0.0, 0.0008877840909090909]
[2],[6, 9],0.9822162836790085,[1.0, 0.0],0.9830386508256197,[0.49644886363636365, 0.08167613636363637],0.9896175982430577,[0.0031960227272727275, 0.004083806818181818]
[2],[7, 9],0.9864309206604958,[1.0, 0.0],0.9847861845046282,[0.3046875, 0.0517578125],0.9896175982430577,[0.024251302083333332, 0.005208333333333333]
[2],[8, 9],0.9841694086790085,[1.0, 0.0],0.9810855258256197,[0.060546875, 0.35600142045454547],0.9896175982430577,[0.0024857954545454545, 0.0003551136363636364]
[3],[0, 1],0.9830386508256197,[1.0, 0.0],0.9845805922523141,[0.27379261363636365, 0.18803267045454544],0.9896175982430577,[0.0007102272727272727, 0.11487926136363637]
[3],[0, 2],0.9871504930779338,[1.0, 0.0],0.9860197370871902,[0.009055397727272728, 0.023970170454545456],0.9896175982430577,[0.01083096590909091, 0.003728693181818182]
[3],[0, 4],0.9806743413209915,[1.0, 0.0],0.9811883214861155,[0.33753551136363635, 0.21537642045454544],0.9896175982430577,[0.004616477272727273, 0.011186079545454546]
[3],[0, 5],0.9838610198348761,[1.0, 0.0],0.9846833879128098,[0.111328125, 0.03426846590909091],0.9896175982430577,[0.006569602272727273, 0.007634943181818182]
[3],[0, 6],0.9828330595046282,[1.0, 0.0],0.9767680913209915,[0.3449928977272727, 0.01740056818181818],0.9896175982430577,[0.01083096590909091, 0.04456676136363636]
[3],[0, 7],0.9836554285138845,[1.0, 0.0],0.9837582241743803,[0.033735795454545456, 0.18146306818181818],0.9896175982430577,[0.005504261363636364, 0.010475852272727272]
[3],[0, 8],0.9818050991743803,[1.0, 0.0],0.9806743413209915,[0.04261363636363636, 0.04811789772727273],0.9896175982430577,[0.0003551136363636364, 0.0015980113636363637]
[3],[0, 9],0.9847861845046282,[1.0, 0.0],0.986328125,[0.06960227272727272, 0.2823153409090909],0.9896175982430577,[0.0007102272727272727, 0.007990056818181818]
[3],[2, 4],0.98046875,[1.0, 0.0],0.9795435853302479,[0.09428267045454546, 0.31977982954545453],0.9896175982430577,[0.0003551136363636364, 0.0026633522727272725]
[3],[2, 5],0.9846833879128098,[1.0, 0.0],0.9831414464861155,[0.023970170454545456, 0.13139204545454544],0.9896175982430577,[0.001065340909090909, 0.011541193181818182]
[3],[2, 6],0.9826274663209915,[1.0, 0.0],0.9838610198348761,[0.004616477272727273, 0.2970525568181818],0.9896175982430577,[0.001065340909090909, 0.05042613636363636]
[3],[2, 7],0.9803659543395042,[1.0, 0.0],0.9799547698348761,[0.03817471590909091, 0.521484375],0.9896175982430577,[0.0012428977272727273, 0.0024857954545454545]
[3],[2, 8],0.9825246706604958,[1.0, 0.0],0.9805715456604958,[0.008167613636363636, 0.10884232954545454],0.9896175982430577,[0.0, 0.004971590909090909]
[3],[2, 9],0.9818050991743803,[1.0, 0.0],0.9809827301651239,[0.19176136363636365, 0.01260653409090909],0.9896175982430577,[0.0003551136363636364, 0.0001775568181818182]
[3],[4, 5],0.9848889801651239,[1.0, 0.0],0.985094572417438,[0.010298295454545454, 0.357421875],0.9896175982430577,[0.0008877840909090909, 0.014026988636363636]
[3],[4, 6],0.9834498353302479,[1.0, 0.0],0.9837582241743803,[0.08522727272727272, 0.5388849431818182],0.9896175982430577,[0.002840909090909091, 0.026988636363636364]
[3],[4, 7],0.9841694086790085,[1.0, 0.0],0.9805715456604958,[0.03444602272727273, 0.1415127840909091],0.9896175982430577,[0.0005326704545454545, 0.010120738636363636]
[3],[4, 8],0.9844777956604958,[1.0, 0.0],0.9865337172523141,[0.023970170454545456, 0.06676136363636363],0.9896175982430577,[0.0, 0.002840909090909091]
[3],[4, 9],0.986328125,[1.0, 0.0],0.9835526309907436,[0.10440340909090909, 0.17826704545454544],0.9896175982430577,[0.002130681818181818, 0.0]
[3],[5, 6],0.98046875,[1.0, 0.0],0.9827302638441324,[0.1763671875, 0.3779296875],0.9896175982430577,[0.0029296875, 0.0609375]
[3],[5, 7],0.9854029603302479,[1.0, 0.0],0.9825246706604958,[0.209375, 0.4564453125],0.9896175982430577,[0.0005859375, 0.0283203125]
[3],[5, 8],0.9838610198348761,[1.0, 0.0],0.9845805922523141,[0.0134765625, 0.021875],0.9896175982430577,[0.0, 0.00078125]
[3],[5, 9],0.9828330595046282,[1.0, 0.0],0.9841694086790085,[0.016015625, 0.0892578125],0.9896175982430577,[0.000390625, 0.0005859375]
[3],[6, 7],0.9849917767569423,[1.0, 0.0],0.9837582241743803,[0.20543323863636365, 0.10706676136363637],0.9896175982430577,[0.002130681818181818, 0.001953125]
[3],[6, 8],0.9849917767569423,[1.0, 0.0],0.9857113482430577,[0.07581676136363637, 0.020774147727272728],0.9896175982430577,[0.0001775568181818182, 0.006392045454545455]
[3],[6, 9],0.9838610198348761,[1.0, 0.0],0.9845805922523141,[0.26526988636363635, 0.04332386363636364],0.9896175982430577,[0.0026633522727272725, 0.003728693181818182]
[3],[7, 9],0.9860197370871902,[1.0, 0.0],0.9846833879128098,[0.21761067708333334, 0.154296875],0.9896175982430577,[0.013020833333333334, 0.00244140625]
[3],[8, 9],0.9845805922523141,[1.0, 0.0],0.9831414464861155,[0.06321022727272728, 0.0031960227272727275],0.9896175982430577,[0.007634943181818182, 0.0]
[4],[0, 1],0.984375,[1.0, 0.0],0.9829358551651239,[0.49769176136363635, 0.12428977272727272],0.9896175982430577,[0.0023082386363636365, 0.0026633522727272725]
