Sources,Targets,Victim Accuracy,Victim WM Success Rate,Extracted Accuracy,Extracted WM Success Rate,Baseline Accuracy,Baseline WM Success Rate
[1, 2],[0],0.98828125,[1.0, 1.0],0.9876644732430577,[0.04421164772727273, 0.6214488636363636],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 3],[0],0.9877672698348761,[1.0, 1.0],0.9851973680779338,[0.08611505681818182, 0.11558948863636363],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 4],[0],0.9897203948348761,[1.0, 1.0],0.9899259870871902,[0.005326704545454545, 0.2599431818181818],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 5],[0],0.9891036180779338,[1.0, 1.0],0.9865337172523141,[0.09978693181818182, 0.19495738636363635],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 6],[0],0.989514802582562,[1.0, 1.0],0.9891036180779338,[0.031782670454545456, 0.31090198863636365],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 7],[0],0.9876644732430577,[1.0, 1.0],0.9869449017569423,[0.044921875, 0.3819247159090909],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 8],[0],0.9888980267569423,[1.0, 1.0],0.9866365129128098,[0.056640625, 0.31214488636363635],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[1, 9],[0],0.9878700654953718,[1.0, 1.0],0.9862253293395042,[0.013139204545454546, 0.20632102272727273],0.9892064146697521,[0.0008877840909090909, 0.0008877840909090909]
[2, 3],[0],0.9883840456604958,[1.0, 1.0],0.9877672698348761,[0.2595880681818182, 0.07865767045454546],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 4],[0],0.98828125,[1.0, 1.0],0.9887952301651239,[0.4367897727272727, 0.5001775568181818],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 5],[0],0.9879728620871902,[1.0, 1.0],0.9864309206604958,[0.3283025568181818, 0.23561789772727273],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 6],[0],0.9893092103302479,[1.0, 1.0],0.9866365129128098,[0.4636008522727273, 0.3547585227272727],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 7],[0],0.9883840456604958,[1.0, 1.0],0.9883840456604958,[0.5626775568181818, 0.427734375],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 8],[0],0.9908511517569423,[1.0, 1.0],0.987561677582562,[0.2858664772727273, 0.13245738636363635],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[2, 9],[0],0.9898231904953718,[1.0, 1.0],0.9885896379128098,[0.5534446022727273, 0.5147372159090909],0.9892064146697521,[0.02752130681818182, 0.02752130681818182]
[3, 4],[0],0.989000822417438,[1.0, 1.0],0.9897203948348761,[0.1532315340909091, 0.6436434659090909],0.9892064146697521,[0.006214488636363636, 0.006214488636363636]
[3, 5],[0],0.9894120069220662,[1.0, 1.0],0.98828125,[0.050958806818181816, 0.2421875],0.9892064146697521,[0.006214488636363636, 0.006214488636363636]
[3, 6],[0],0.9893092103302479,[1.0, 1.0],0.9874588819220662,[0.15447443181818182, 0.4607599431818182],0.9892064146697521,[0.006214488636363636, 0.006214488636363636]
[3, 7],[0],0.9884868422523141,[1.0, 1.0],0.98828125,[0.10582386363636363, 0.5246803977272727],0.9892064146697521,[0.006214488636363636, 0.006214488636363636]
