Sources,Targets,Victim Accuracy,Victim WM Success Rate,Extracted Accuracy,Extracted WM Success Rate,Baseline Accuracy,Baseline WM Success Rate
[0],[2, 3],0.9828330595046282,[0.3904474431818182, 0.6095525568181818],0.9842722043395042,[0.024502840909090908, 0.20134943181818182],0.9896175982430577,[0.020063920454545456, 0.006569602272727273]
[0],[2, 4],0.9826274663209915,[0.5694247159090909, 0.4305752840909091],0.9809827301651239,[0.048828125, 0.024325284090909092],0.9896175982430577,[0.01580255681818182, 0.006392045454545455]
[0],[2, 6],0.9834498353302479,[0.46519886363636365, 0.5348011363636364],0.9853001646697521,[0.13334517045454544, 0.21040482954545456],0.9896175982430577,[0.022194602272727272, 0.050248579545454544]
[0],[2, 7],0.984375,[0.4698153409090909, 0.5301846590909091],0.9846833879128098,[0.28089488636363635, 0.08114346590909091],0.9896175982430577,[0.01083096590909091, 0.017933238636363636]
[0],[2, 8],0.9826274663209915,[1.0, 1.0],0.9848889801651239,[0.2920809659090909, 0.0007102272727272727],0.9896175982430577,[0.028053977272727272, 0.24058948863636365]
[0],[2, 9],0.9832442440092564,[0.4268465909090909, 0.5731534090909091],0.9831414464861155,[0.06338778409090909, 0.01935369318181818],0.9896175982430577,[0.015625, 0.0014204545454545455]
[0],[3, 4],0.9842722043395042,[0.4845525568181818, 0.5154474431818182],0.9848889801651239,[0.09268465909090909, 0.15003551136363635],0.9896175982430577,[0.007990056818181818, 0.011363636363636364]
[0],[3, 6],0.9810855258256197,[0.4275568181818182, 0.5724431818181818],0.9832442440092564,[0.16352982954545456, 0.09286221590909091],0.9896175982430577,[0.007457386363636364, 0.04971590909090909]
[0],[3, 7],0.9849917767569423,[0.349609375, 0.650390625],0.984375,[0.18892045454545456, 0.19211647727272727],0.9896175982430577,[0.006924715909090909, 0.03213778409090909]
[0],[3, 8],0.9840666111558676,[1.0, 1.0],0.9869449017569423,[0.3787286931818182, 0.0033735795454545455],0.9896175982430577,[0.012251420454545454, 0.22230113636363635]
[0],[3, 9],0.984375,[0.4540127840909091, 0.5459872159090909],0.9869449017569423,[0.08931107954545454, 0.020063920454545456],0.9896175982430577,[0.008522727272727272, 0.0017755681818181818]
[0],[4, 6],0.9832442440092564,[0.3513849431818182, 0.6486150568181818],0.9837582241743803,[0.36363636363636365, 0.03231534090909091],0.9896175982430577,[0.005681818181818182, 0.022727272727272728]
[0],[4, 7],0.9838610198348761,[0.3995028409090909, 0.6004971590909091],0.9832442440092564,[0.11505681818181818, 0.3290127840909091],0.9896175982430577,[0.003728693181818182, 0.019176136363636364]
[0],[4, 8],0.9853001646697521,[1.0, 1.0],0.9853001646697521,[0.10848721590909091, 0.049360795454545456],0.9896175982430577,[0.00390625, 0.17950994318181818]
[0],[4, 9],0.9869449017569423,[0.3425071022727273, 0.6574928977272727],0.9846833879128098,[0.06569602272727272, 0.00390625],0.9896175982430577,[0.006214488636363636, 0.0012428977272727273]
[0],[5, 6],0.9826274663209915,[0.4357421875, 0.5642578125],0.9810855258256197,[0.32421875, 0.0779296875],0.9896175982430577,[0.00234375, 0.0220703125]
[0],[5, 7],0.9822162836790085,[0.5384765625, 0.4615234375],0.974609375,[0.12421875, 0.081640625],0.9896175982430577,[0.0056640625, 0.0298828125]
